date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:55	27178/27178	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:57:55%20GMT	https://djbproject.jimdoweb.com/	D:/Websites/Copier2/DJB%20Projects/index-2.html	(from )
09:58:17	1937/1937	---M--	200	added ('OK')	image/png	etag:%226733a7aa-791%22	https://u.jimcdn.com/cms/o/s6c0c3830851e0a11/img/favicon.png?t=1492957159	D:/Websites/Copier2/DJB%20Projects/cms/o/s6c0c3830851e0a11/img/favicona485.png	(from https://djbproject.jimdoweb.com/)
09:58:18	2106/2106	---M-Z	200	added ('OK')	text/javascript	etag:%226d7b9438011af76dfd45e171d50e7bfd%22	https://assets.jimstatic.com/ckies.js.342ad3c77343efa51804.js	D:/Websites/Copier2/DJB%20Projects/ckies.js.342ad3c77343efa51804.js	(from https://djbproject.jimdoweb.com/)
09:58:18	25673/25673	---M-Z	200	added ('OK')	text/javascript	etag:%2292d8145ed92af199873a2d3b92e2d754%22	https://assets.jimstatic.com/cookieControl.js.4e56759d0f34152b0100.js	D:/Websites/Copier2/DJB%20Projects/cookieControl.js.4e56759d0f34152b0100.js	(from https://djbproject.jimdoweb.com/)
09:58:18	95996/95996	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Nov%202024%2008:58:18%20GMT	https://u.jimcdn.com/cms/o/s6c0c3830851e0a11/layout/dm_c7ed0477b406b889415a0271baa856bf/css/layout.css?t=1544650740	D:/Websites/Copier2/DJB%20Projects/cms/o/s6c0c3830851e0a11/layout/dm_c7ed0477b406b889415a0271baa856bf/css/layout57ff.css	(from https://djbproject.jimdoweb.com/)
09:58:18	233889/233889	---M-Z	200	added ('OK')	text/css	etag:%22cb1792b26d8bd6489d53a4e4b4677877%22	https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css	D:/Websites/Copier2/DJB%20Projects/web.css.6171c4a35b361b9030cb24d6de8164b8.css	(from https://djbproject.jimdoweb.com/)
09:58:19	712094/712094	---M-Z	200	added ('OK')	text/javascript	etag:%22252b9332f32c0f93a53b581b75bedb83%22	https://assets.jimstatic.com/web.js.7a3ee09f066b9f3ef35e.js	D:/Websites/Copier2/DJB%20Projects/web.js.7a3ee09f066b9f3ef35e.js	(from https://djbproject.jimdoweb.com/)
09:58:19	12690/12690	---M-Z	200	added ('OK')	text/javascript	etag:%2228c14a05325ed563ea806689d4262ca0%22	https://assets.jimstatic.com/at.js.7e13fbb937ad644d4b5b.js	D:/Websites/Copier2/DJB%20Projects/at.js.7e13fbb937ad644d4b5b.js	(from https://djbproject.jimdoweb.com/)
09:59:20	65457/65457	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:58:41%20GMT	https://djbproject.jimdoweb.com/graphic-designs-1/	D:/Websites/Copier2/DJB%20Projects/graphic-designs-1/index.html	(from https://djbproject.jimdoweb.com/)
09:59:20	27828/27828	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:58:41%20GMT	https://djbproject.jimdoweb.com/photography/	D:/Websites/Copier2/DJB%20Projects/photography/index.html	(from https://djbproject.jimdoweb.com/)
09:59:20	43294/43294	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:58:41%20GMT	https://djbproject.jimdoweb.com/videography/	D:/Websites/Copier2/DJB%20Projects/videography/index.html	(from https://djbproject.jimdoweb.com/)
09:59:41	32823/32823	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:59:02%20GMT	https://djbproject.jimdoweb.com/about-me/	D:/Websites/Copier2/DJB%20Projects/about-me/index.html	(from https://djbproject.jimdoweb.com/)
09:59:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2019%20Nov%202024%2008:59:41%20GMT	http://djbproject.jimdoweb.com/j/privacy	D:/Websites/Copier2/DJB%20Projects/j/privacy.b.delayed	(from https://djbproject.jimdoweb.com/)
09:59:43	30051/30051	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:59:42%20GMT	https://djbproject.jimdoweb.com/j/privacy	D:/Websites/Copier2/DJB%20Projects/j/privacy.html	(from https://djbproject.jimdoweb.com/)
09:59:43	22539/22539	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:59:42%20GMT	https://djbproject.jimdoweb.com/about/	D:/Websites/Copier2/DJB%20Projects/about/index.html	(from https://djbproject.jimdoweb.com/)
09:59:43	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2019%20Nov%202024%2008:59:43%20GMT	https://djbproject.jimdoweb.com/login	D:/Websites/Copier2/DJB%20Projects/login.d.delayed	(from https://djbproject.jimdoweb.com/)
10:00:10	147084/147084	---M-Z	200	added ('OK')	binary/octet-stream	etag:%2238394ca16133f78363850eb0ebc16c36%22	https://assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot	D:/Websites/Copier2/DJB%20Projects/38394ca16133f78363850eb0ebc16c36.eot	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:00:10	147084/147084	---M-Z	200	added ('OK')	binary/octet-stream	etag:%2238394ca16133f78363850eb0ebc16c36%22	https://assets.jimstatic.com/38394ca16133f78363850eb0ebc16c36.eot?	D:/Websites/Copier2/DJB%20Projects/38394ca16133f78363850eb0ebc16c36d41d.eot	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:00:16	146948/146948	---M--	200	added ('OK')	binary/octet-stream	etag:%22a984717a9f4ef00fa217fc58c3ff86a6%22	https://assets.jimstatic.com/a984717a9f4ef00fa217fc58c3ff86a6.woff	D:/Websites/Copier2/DJB%20Projects/a984717a9f4ef00fa217fc58c3ff86a6.woff	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:00:19	146872/146872	---M-Z	200	added ('OK')	binary/octet-stream	etag:%2292d755b23dfbe5bd5ac566c8df9e7827%22	https://assets.jimstatic.com/92d755b23dfbe5bd5ac566c8df9e7827.ttf	D:/Websites/Copier2/DJB%20Projects/92d755b23dfbe5bd5ac566c8df9e7827.ttf	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:00:21	712420/712420	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f7b79a3d76e79248879a74cd4fadbb14%22	https://assets.jimstatic.com/f7b79a3d76e79248879a74cd4fadbb14.svg	D:/Websites/Copier2/DJB%20Projects/f7b79a3d76e79248879a74cd4fadbb14.svg	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:00:23	22471/22471	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2008:59:43%20GMT	https://djbproject.jimdoweb.com/sitemap/	D:/Websites/Copier2/DJB%20Projects/sitemap/index.html	(from https://djbproject.jimdoweb.com/)
10:00:26	2661/2661	---M--	200	added ('OK')	image/png	etag:%22e1ca6e007c91d4ef9ee063940b504870%22	https://assets.jimstatic.com/e1ca6e007c91d4ef9ee063940b504870.png	D:/Websites/Copier2/DJB%20Projects/e1ca6e007c91d4ef9ee063940b504870.png	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:00:26	2097/2097	---M--	200	added ('OK')	image/gif	etag:%22d32401d55ec237cee50e487c6eefa908%22	https://assets.jimstatic.com/d32401d55ec237cee50e487c6eefa908.gif	D:/Websites/Copier2/DJB%20Projects/d32401d55ec237cee50e487c6eefa908.gif	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:00:26	2118/2118	---M--	200	added ('OK')	image/png	etag:%229e4dc55ad6bdd8b8bafced6241dac621%22	https://assets.jimstatic.com/9e4dc55ad6bdd8b8bafced6241dac621.png	D:/Websites/Copier2/DJB%20Projects/9e4dc55ad6bdd8b8bafced6241dac621.png	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:00:26	1554/1554	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b257fa9c5ac8c515ac4d77a667ce2943%22	https://assets.jimstatic.com/b257fa9c5ac8c515ac4d77a667ce2943.svg	D:/Websites/Copier2/DJB%20Projects/b257fa9c5ac8c515ac4d77a667ce2943.svg	(from https://assets.jimstatic.com/web.css.6171c4a35b361b9030cb24d6de8164b8.css)
10:01:09	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Nov%202024%2009:01:09%20GMT	https://i.imgur.com/FpkA4XN.jpeg	D:/Websites/Copier2/DJB%20Projects/FpkA4XN.19.delayed	(from https://djbproject.jimdoweb.com/graphic-designs-1/)
10:01:11	22031/22031	---MCZ	200	added ('OK')	application/javascript	etag:W/%226710d87a-560f%22	https://snapwidget.com/js/snapwidget.js	D:/Websites/Copier2/DJB%20Projects/js/snapwidget.js	(from https://djbproject.jimdoweb.com/graphic-designs-1/)
10:03:34	30873/30873	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2009:02:56%20GMT	https://djbproject.jimdoweb.com/videography/animation/seminar/	D:/Websites/Copier2/DJB%20Projects/videography/animation/seminar/index.html	(from https://djbproject.jimdoweb.com/graphic-designs-1/)
10:05:20	35381/35381	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Nov%202024%2009:04:42%20GMT	https://djbproject.jimdoweb.com/graphic-designs-1/protest/	D:/Websites/Copier2/DJB%20Projects/graphic-designs-1/protest/index.html	(from https://djbproject.jimdoweb.com/graphic-designs-1/)
